hour_of_day,tx_count,avg_gas_gwei,total_gas_used
0,13951,1.0364543205110024,1641812182
1,14688,0.9360242519353896,1633842128
2,14756,0.8701744586177149,1661018659
3,13639,0.9573920484416011,1688944588
4,14096,0.9774158919752416,1677757654
5,12825,0.964854586626277,1595807282
6,12983,0.9614285116036355,1653370914
7,13588,0.9331260501608772,1490905226
8,13896,1.0508452199194729,1679837392
9,14257,1.0808702199075542,1681864358
10,16664,0.9721982771098174,1803519700
11,15648,1.0096943313271345,1683686487
12,16305,0.9428250564020855,1680286058
13,16798,1.223253165997321,1630993469
14,17228,1.6152378820595543,1622130477
15,17863,1.7826716815501877,1616183004
16,17429,1.7655712298608066,1592170461
17,17501,1.9397717270111428,1678302021
18,17935,3.0144716182007802,1676754692
19,17349,4.243465759541123,1714893448
20,18474,2.786295670350223,1607573894
21,17308,1.548395632050208,1620289813
22,16722,1.1732186683774661,1638846510
23,15629,0.9677076541122277,1642050866
