hour_of_day,avg_gas_gwei_august,avg_tx_per_hour
0,1.584592635778259,15644.838709677419
1,1.3184456963806652,15542.483870967742
2,1.2943565063912486,15587.161290322581
3,1.297678517638584,15297.129032258064
4,1.23093361623909,14763.612903225807
5,1.2391043995826194,14890.612903225807
6,1.2256183072407518,15772.516129032258
7,1.4501702178938085,16498.83870967742
8,1.40547849434621,17124.548387096773
9,1.344692609450849,17553.0
10,1.503188875966697,17545.90322580645
11,1.3663189819309154,17381.645161290322
12,1.8218597429765047,17560.483870967742
13,2.409477141245384,17815.451612903227
14,3.2105189588484366,18026.83870967742
15,2.9179082454107546,18302.483870967742
16,3.0504298408860695,18370.322580645163
17,2.2211394603241534,17949.677419354837
18,2.0717378437701677,17775.74193548387
19,1.9181574620264206,17535.58064516129
20,1.9689946494755426,17174.064516129034
21,1.7993899768167325,16754.032258064515
22,1.508114242446166,16201.806451612903
23,1.319739834211635,15590.161290322581
