block_number,date,tx_count,avg_gas_gwei,block_gas_used,max_gas_gwei,block_utilization
23104311,2025-08-09,2,1357.1242624454999,1489194,2713.173973643,0.0330932
23135572,2025-08-14,71,1153.1236999646335,6010294,81741.409981132,0.1335620888888889
23101483,2025-08-09,1,1031.219422541,1108007,1031.219422541,0.024622377777777777
23198702,2025-08-22,1,938.530489028,1784811,938.530489028,0.03966246666666667
23131094,2025-08-13,2,875.476270012,244576,981.633634694,0.005435022222222222
23165862,2025-08-18,4,685.4510212095,3520315,2612.844724846,0.07822922222222223
23197075,2025-08-22,2,554.225874252,8627654,1101.822955278,0.19172564444444445
23139516,2025-08-14,5,552.5327992232,905915,1141.32450709,0.020131444444444445
23221872,2025-08-26,7,550.0450211712857,2104261,3734.118057215,0.04676135555555556
23142138,2025-08-14,3,467.1468948153333,475684,1399.865371294,0.010570755555555556
23121303,2025-08-12,2,462.7415489655,799603,925.057924527,0.017768955555555556
23246795,2025-08-29,2,429.4147926235,567831,856.5267445,0.012618466666666666
23135463,2025-08-13,3,425.710993124,384130,1186.375059851,0.008536222222222223
23121182,2025-08-11,3,404.3898675043333,1480434,1212.088878953,0.032898533333333334
23069128,2025-08-04,1,398.731685094,2149390,398.731685094,0.04776422222222222
23234811,2025-08-27,25,384.3990530333999,4108530,6284.109663603,0.09130066666666667
23042770,2025-08-01,3,369.740754018,589507,563.155248699,0.013100155555555555
23139467,2025-08-14,4,356.93343833975,4237779,1387.044087195,0.09417286666666666
23128940,2025-08-13,2,329.53847882300005,2213733,658.487051001,0.04919406666666667
23221480,2025-08-25,30,321.46791434243346,1731783,9619.140781344,0.038484066666666664
