date,tx_count,avg_gas_gwei,max_gas_gwei,min_gas_gwei,median_gas_gwei,p95_gas_gwei,total_gas_used,avg_tx_cost_gwei,total_fees_gwei,congestion_index,congestion_level
2025-08-01,423734,1.7812095470406364,12460.595158213,0.189365911,0.929423153,3.882014812,39208567487,183814.04517166037,7.788826061676834E10,0.12101409718209877,low
2025-08-02,395320,1.2851447577855266,2500.33466996,0.219848123,0.487851488,2.60812281,39191596897,128428.841982173,5.077048981239263E10,0.12096171881790123,low
2025-08-03,366149,1.1581616362725897,1450.000000001,0.154660081,0.376239594,2.322752078,40161999340,102949.97471734899,3.7695030292782616E10,0.12395678808641976,low
2025-08-04,416677,1.4145773977004314,862.363582027,0.160007971,0.713191125,3.270638496,38991697824,132989.35064119953,5.541360365712309E10,0.12034474637037038,low
2025-08-05,452889,2.091014407034348,3985.986629395,0.12773006,1.136191143,7.312561969,39167383357,184516.6884090813,8.356557849690042E10,0.12088698566975309,low
2025-08-06,442780,1.3931771384311846,2456.55226097,0.155858342,0.638462752,3.385707212,39249895904,127528.26518880394,5.646696526029861E10,0.12114165402469136,low
2025-08-07,426045,1.7280228219920035,4675.088075744,0.125958835,1.008143631,4.350336816,38971681669,162840.49424988095,6.937737837269054E10,0.12028296811419753,low
2025-08-08,413017,1.8693831406759793,14074.392441831,0.175493012,1.0,4.929891866,39162492770,190717.4079268603,7.876953166972806E10,0.1208718912654321,low
2025-08-09,396294,1.7500707198689756,4618.074710068,0.187605794,1.0,3.313652271,39201767269,204609.4971549714,8.108551606553224E10,0.12099310885493827,low
2025-08-10,403277,1.4426170711020454,3266.007608946,0.199160279,0.7412771,3.007133236,39421370959,140876.46522619826,5.681223826702555E10,0.12167089802160494,low
2025-08-11,416024,1.919013050825809,2684.735868422,0.240683057,1.173795057,3.950417468,39243742643,200936.19978091473,8.359428157765527E10,0.12112266247839507,low
2025-08-12,419280,2.69837710520957,4782.801634713,0.203395045,2.195552669,5.855857174,39251381950,243562.12452140532,1.0212072756933482E11,0.12114624058641975,low
2025-08-13,433684,3.2340996050251807,2503.008908674,0.499739048,2.145472891,7.53445303,39463361391,312177.4955732276,1.3538638499017963E11,0.12180049812037037,low
2025-08-14,424847,3.4244513528464724,81741.409981132,0.33782858,1.792975039,9.927371443,39589976812,365290.6294969971,1.5519262806991074E11,0.12219128645679013,low
2025-08-15,415774,1.9082121953515525,6666.0,0.23496394,0.956921299,4.455887309,39272199852,214138.3441910704,8.90331559176981E10,0.12121049337037038,low
2025-08-16,369926,1.1692180181477,1559.131805099,0.145854714,0.384471952,2.337436608,39351493784,108593.82420489565,4.017167901282023E10,0.12145522772839507,low
2025-08-17,368605,1.2071948734808604,1250.175312016,0.098742759,0.388007656,2.437865491,39594420144,116416.1510823632,4.2911575369714485E10,0.12220500044444445,low
2025-08-18,412374,1.5608131205063671,2612.844724846,0.108689046,0.781547643,3.317197627,39517687580,173823.61016542502,7.168033741835698E10,0.12196817154320988,low
2025-08-19,412882,1.814504719472637,9649.760634151,0.101271144,0.96272802,3.412733181,39436731046,169270.35057414006,6.988868088575209E10,0.12171830569753087,low
2025-08-20,407847,1.7869687204716544,6292.164567934,0.135740132,0.919932609,5.0,39069175655,175507.63519576416,7.158026249168683E10,0.12058387547839507,low
2025-08-21,405182,1.7656391703815357,3095.238095238,0.143572553,0.729314403,3.242111475,39675137124,160284.75406897964,6.494449722317731E10,0.12245412692592593,low
2025-08-22,403065,3.4613268198601306,5550.0,0.135234485,1.820449287,10.961404035,39439532552,366721.2807369448,1.4781251302023666E11,0.12172695232098765,low
2025-08-23,389157,1.3169440981911822,5125.701729963,0.143019211,0.510245042,3.28143992,39184201619,124061.18479251956,4.8279278490302536E10,0.12093889388580246,low
2025-08-24,377532,1.505688625921544,1567.720657101,0.120851623,0.693256865,3.42060246,39612841283,153496.2344995983,5.794974040310234E10,0.1222618558117284,low
2025-08-25,393175,1.7026229744588781,9619.140781344,0.123799271,0.818229362,4.510020747,39442992243,168306.22551108175,6.617380021531957E10,0.12173763037962963,low
2025-08-26,385243,1.6724816576868209,3734.118057215,0.14008969,1.047122999,3.376901075,39145286820,169989.12062521488,6.548711879701966E10,0.12081878648148148,low
2025-08-27,368125,1.9653276314978827,6284.109663603,0.146755218,1.268699065,4.105432148,39303723979,203812.4875958413,7.502847199621907E10,0.12130779005864198,low
2025-08-28,392657,1.585677414268818,5237.051836838,0.138928667,0.976111602,3.482758163,39309260366,163249.40779625849,6.4101022717055466E10,0.1213248776728395,low
2025-08-29,413512,1.5557340991868351,10550.832416196,0.102170784,0.720632212,3.677744763,39505422788,161676.5273911368,6.685518419456376E10,0.12193031724691358,low
2025-08-30,357948,1.056836339152421,1272.716873612,0.113671628,0.319672892,2.257260036,39607489815,88856.0399377639,3.180584178364271E10,0.12224533893518519,low
2025-08-31,379406,1.011750624136567,2208.202141392,0.099530416,0.326552341,2.30047584,39033740924,88621.98836935664,3.3623714119264122E10,0.12047450902469135,low
