date,tx_count,avg_gas_gwei,max_gas_gwei,min_gas_gwei,median_gas_gwei,p95_gas_gwei,total_gas_used,avg_tx_cost_gwei,total_fees_gwei,congestion_index,congestion_level
2025-08-03,366149,1.1581616362725897,1450.000000001,0.154660081,0.376239594,2.322752078,40161999340,102949.97471734902,3.769503029278262E10,0.12395678808641976,low
2025-08-21,405182,1.7656391703815353,3095.238095238,0.143572553,0.729289152,3.242215005,39675137124,160284.75406897964,6.4944497223177315E10,0.12245412692592593,low
2025-08-24,377532,1.505688625921544,1567.720657101,0.120851623,0.693256865,3.42060246,39612841283,153496.2344995983,5.794974040310235E10,0.1222618558117284,low
2025-08-30,357948,1.056836339152421,1272.716873612,0.113671628,0.319672892,2.257260036,39607489815,88856.03993776391,3.1805841783642715E10,0.12224533893518519,low
2025-08-17,368605,1.2071948734808602,1250.175312016,0.098742759,0.388008861,2.437865491,39594420144,116416.15108236317,4.291157536971448E10,0.12220500044444445,low
2025-08-14,424847,3.424451352846472,81741.409981132,0.33782858,1.792975043,9.927371443,39589976812,365290.6294969971,1.5519262806991074E11,0.12219128645679013,low
2025-08-18,412374,1.560813120506367,2612.844724846,0.108689046,0.781541888,3.3172395,39517687580,173823.61016542502,7.168033741835698E10,0.12196817154320988,low
2025-08-29,413512,1.5557340991868351,10550.832416196,0.102170784,0.720632212,3.677744763,39505422788,161676.52739113683,6.685518419456377E10,0.12193031724691358,low
2025-08-13,433684,3.2340996050251816,2503.008908674,0.499739048,2.145472891,7.53445303,39463361391,312177.4955732276,1.3538638499017964E11,0.12180049812037037,low
2025-08-25,393175,1.7026229744588777,9619.140781344,0.123799271,0.818297109,4.510280875,39442992243,168306.22551108175,6.617380021531957E10,0.12173763037962963,low
