hour_of_day,day_of_week,avg_gas_gwei,tx_count
0,1,1.4436835745340892,69644
1,1,1.2292107457558532,72964
2,1,1.1232351956955884,71032
3,1,1.1778125725270345,69654
4,1,1.0578052728577059,71753
5,1,1.0293634258965902,69181
6,1,1.0652752699819634,67747
7,1,1.0566270082821458,71449
8,1,1.1853511119565174,74305
9,1,1.0857750778311894,77578
10,1,1.0936772455040173,80303
11,1,1.0992060620488826,80745
12,1,1.111598663492503,82637
13,1,1.149362971624426,86271
14,1,1.405064330594541,87496
15,1,1.4477152667076922,87616
16,1,1.4553217536488376,89403
17,1,1.4875233518228848,86995
18,1,1.6565576231154695,86474
19,1,1.8596530520231427,85942
20,1,1.5262223084457407,83883
21,1,1.2926812115665742,81880
22,1,1.1074203893596302,79704
23,1,1.0194762915761069,80313
0,2,1.310980147875047,58085
1,2,1.2662537137614387,58999
2,2,1.4299063222774195,62119
3,2,1.323727795873697,60854
4,2,1.2035093806192392,58257
5,2,1.3278550718521323,59472
6,2,1.2148572978400316,70389
7,2,1.2744420898011035,67276
8,2,1.2875891946919205,70917
9,2,1.2491265154484683,77203
10,2,1.3947167849463964,71787
11,2,1.3859116132525031,72696
12,2,1.539375752202491,73218
13,2,2.0974183172569862,72627
14,2,2.594136342046937,73287
15,2,2.1106705031197586,74082
16,2,2.3476204685339916,72621
17,2,1.9102673569114144,72754
18,2,1.5602944445885254,72816
19,2,1.8928342740383388,71132
20,2,2.575967346561005,70989
21,2,1.9968735075454054,68283
22,2,1.4363326791815794,65415
23,2,1.4171190110387957,62972
0,3,1.381712815963425,64636
1,3,1.3768498412620882,60968
2,3,1.2011422302273034,61759
3,3,1.248381723205229,62160
4,3,1.4618476653952721,59258
5,3,1.1107247017974737,58279
6,3,1.1429458074807832,62263
7,3,2.192460575927417,67729
8,3,1.3112659625685346,72715
9,3,1.389137932612042,73245
10,3,1.3342719075489093,73666
11,3,1.2651934994952083,71277
12,3,2.1710928556807807,72590
13,3,2.8849277931190307,72210
14,3,3.6789171745627165,73721
15,3,3.215913562373473,74041
16,3,4.520225807110417,78900
17,3,2.56540721356363,73584
18,3,2.632338297366681,74034
19,3,2.613010987581642,76994
20,3,2.6600148077738703,75006
21,3,2.2221560792529464,72137
22,3,1.6393750640940226,69610
23,3,1.4326117714890958,69512
0,4,1.4175078500696763,68230
1,4,1.4205701201805199,66785
2,4,1.361614467990834,66868
3,4,1.367897554170561,62775
4,4,1.4196785469667417,59957
5,4,1.3132231120999385,61748
6,4,1.287743777654839,63828
7,4,1.3825539684959969,71585
8,4,1.5615984805731598,70954
9,4,1.4392757675766976,71091
10,4,1.6812172046132525,72347
11,4,1.535139276034197,70210
12,4,1.975602090685532,71769
13,4,2.7323574470386593,72844
14,4,3.8848641808395348,73306
15,4,4.726536386756429,74691
16,4,3.9055558874947502,72764
17,4,2.785372999188194,73854
18,4,2.7486204387204585,73087
19,4,2.0773998165194913,70654
20,4,2.2505235386169193,68714
21,4,1.8964676134919904,67416
22,4,1.8176258037973605,66478
23,4,1.5510073107172346,60481
0,5,2.941150191434505,64525
1,5,1.4222787580157317,62614
2,5,1.3379434948018716,63287
3,5,1.4055561144180775,63395
4,5,1.2997569791051615,60564
5,5,1.2815471067800726,63962
6,5,1.4762366261532052,67217
7,5,1.711070515057923,68144
8,5,1.7644611695385435,70024
9,5,1.66140343240775,73626
10,5,2.4797526232148583,73173
11,5,1.6881432989774912,70417
12,5,3.2743687165133593,71149
13,5,4.875462037480269,71843
14,5,3.594865043127253,73531
15,5,3.103918582999441,75732
16,5,3.668586254384714,73991
17,5,2.178353826570701,72786
18,5,1.7638875811791264,72173
19,5,1.5711373016910675,71342
20,5,1.6398441668248511,69889
21,5,1.6606904895523682,68344
22,5,1.4200357154351855,64862
23,5,1.312323043868187,62141
0,6,1.4818038117392736,81833
1,6,1.3424069396995701,82668
2,6,1.3908664967123978,82162
3,6,1.4137803828849407,78098
4,6,1.15100541767383,75316
5,6,1.1051920091474614,74108
6,6,1.1077029109371839,82207
7,6,1.4092203936165304,87201
8,6,1.4989880340664408,90816
9,6,1.3551405962668155,90913
10,6,1.2591273980336624,89775
11,6,1.2825248682388593,91071
12,6,1.6831873866066185,89043
13,6,2.2894186465300224,91094
14,6,5.924600792868909,90235
15,6,4.529540233571642,92203
16,6,3.9754058080070704,93061
17,6,3.3466577307721965,91049
18,6,2.687094604298345,89027
19,6,2.024075824455139,88281
20,6,1.9548429458861396,87038
21,6,2.246786655902625,85833
22,6,1.8520642465665313,84892
23,6,1.3129570255566165,81178
0,7,1.2142481651099601,78037
1,7,1.1977310136515462,76819
2,7,1.2194152951159731,75975
3,7,1.1619813939494013,77275
4,7,1.1051422955993642,72567
5,7,1.4975412937258454,74859
6,7,1.3006540882736488,75297
7,7,1.1978438303405996,78080
8,7,1.2435246197081606,81130
9,7,1.2604165842239872,80487
10,7,1.3908233057625146,82872
11,7,1.3719986002828966,82415
12,7,1.250163439911695,83969
13,7,1.3238216404557681,85390
14,7,1.4457352084053372,87256
15,7,1.4436926247899609,89012
16,7,1.7391798374478373,88740
17,7,1.2854058019556058,85418
18,7,1.467735487974173,83437
19,7,1.3817465845957004,79258
20,7,1.2810488069791872,76877
21,7,1.296498692616703,75482
22,7,1.2757566314797395,71295
23,7,1.2771772931412633,66698
