hour_of_day,tx_count,avg_gas_gwei,p95_gas_gwei,avg_tx_cost_gwei,total_gas_used,congestion_score
0,484990,1.584592635778259,3.171828544,161276.97602343073,51152781593,63.67922952887747
1,481817,1.3184456963806659,2.938983493,132744.70308806928,50815705575,58.48245452295987
2,483202,1.2943565063912483,2.770655318,124866.9210751538,50553730146,58.129543802568406
3,474211,1.2976785176385845,3.006172715,129894.96436468957,50511325974,57.56010393859972
4,457672,1.23093361623909,2.746325303,118115.14950072966,51123444366,55.15104598161551
5,461609,1.2391043995826194,2.976374754,144345.6777807633,50297783033,55.580279194418615
6,488948,1.225618307240752,2.841468245,118527.5376751284,51297981504,57.24852159700726
7,511464,1.4501702178938087,3.212747564,145744.4957535539,51233059047,63.026588076634546
8,530861,1.4054784943462095,3.128127865,133008.6865581635,51265101293,63.553799694657755
9,544143,1.344692609450849,3.204936734,121028.68581937907,50511926677,63.35071984840403
10,543923,1.5031888759666967,3.385919202,132920.63995143623,51001745170,66.2973353165468
11,538831,1.3663189819309156,3.138485529,124102.53662633151,50741474189,63.38177345545524
12,544375,1.8218597429765044,4.155753603,192741.2652550277,51208147906,72.28458555947026
13,552279,2.4094771412453837,6.608573155,243132.875927153,50820171169,83.82148606173178
14,558832,3.2105189588484366,9.447355187,336797.41371590673,50951921669,99.25208962562337
15,567377,2.9179082454107546,7.704733753,283292.0843289813,50309638828,94.38381125180013
16,569480,3.0504298408860695,7.708683906,301445.1180262856,50732784786,97.0081637265312
17,556440,2.2211394603241534,5.667083929,214597.61240003238,50388873972,80.59399124423123
18,551048,2.071737843770168,5.0,210561.236023189,50756939288,77.42315758700487
19,543603,1.9181574620264208,3.952595007,198096.57722458255,51042663179,74.03002706692547
20,532396,1.9689946494755428,5.0,196943.1745361734,50698040651,74.19292700752307
21,519375,1.7993899768167325,4.219433032,182842.23581879432,50523579970,70.10866990098799
22,502256,1.5081142424461664,3.254979462,147884.03596702655,50985649917,63.46271341553182
23,483295,1.319739834211635,2.848214627,127258.11776559443,50853783944,58.61045411081805
