hour_of_day,day_of_week,target_avg_gas_gwei,cell_tx_count,hour_tx_count,hour_p95_gas_gwei,hour_avg_tx_cost_gwei,hour_total_gas_used,day_tx_count,day_avg_tx_cost_gwei,hour_sin,hour_cos,day_1,day_2,day_3,day_4,day_5,day_6,day_7
0,1,1.4436835745340892,69644,484990,3.171828544,161276.97602343073,51152781593.0,1894969,120842.2398740505,0.0,1.0,1,0,0,0,0,0,0
1,1,1.2292107457558532,72964,481817,2.938983493,132744.70308806928,50815705575.0,1894969,120842.2398740505,0.25881904510252074,0.9659258262890683,1,0,0,0,0,0,0
2,1,1.1232351956955884,71032,483202,2.770655318,124866.9210751538,50553730146.0,1894969,120842.2398740505,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0
3,1,1.1778125725270345,69654,474211,3.006172715,129894.96436468957,50511325974.0,1894969,120842.2398740505,0.7071067811865475,0.7071067811865476,1,0,0,0,0,0,0
4,1,1.0578052728577059,71753,457672,2.746325303,118115.14950072966,51123444366.0,1894969,120842.2398740505,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0
5,1,1.0293634258965902,69181,461609,2.976374754,144345.6777807633,50297783033.0,1894969,120842.2398740505,0.9659258262890683,0.25881904510252074,1,0,0,0,0,0,0
6,1,1.0652752699819634,67747,488948,2.841468245,118527.5376751284,51297981504.0,1894969,120842.2398740505,1.0,6.123233995736766e-17,1,0,0,0,0,0,0
7,1,1.0566270082821458,71449,511464,3.212747564,145744.4957535539,51233059047.0,1894969,120842.2398740505,0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0,0
8,1,1.1853511119565174,74305,530861,3.128127865,133008.6865581635,51265101293.0,1894969,120842.2398740505,0.8660254037844387,-0.49999999999999983,1,0,0,0,0,0,0
9,1,1.0857750778311894,77578,544143,3.204936734,121028.68581937907,50511926677.0,1894969,120842.2398740505,0.7071067811865476,-0.7071067811865475,1,0,0,0,0,0,0
10,1,1.0936772455040173,80303,543923,3.385919202,132920.63995143623,51001745170.0,1894969,120842.2398740505,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0
